iteration,adaptive_cells,v1_cells,adaptive_mean_pressure,v1_mean_pressure,rel_dev_pct
13600,750.0,738.0,209.907173,207.074831,1.3678
13650,761.0,765.0,210.152378,207.256157,1.3974
13700,781.0,786.0,210.454289,209.292036,0.5553
13750,801.0,807.0,211.945006,211.145675,0.3786
13800,817.0,822.0,212.430257,213.339696,0.4263
13850,838.0,849.0,212.688544,214.833934,0.9986
13900,854.0,863.0,214.697881,217.231275,1.1662
13950,866.0,882.0,215.75343,218.451723,1.2352
14000,880.0,903.0,216.085068,218.642337,1.1696
14050,895.0,918.0,216.262056,219.885882,1.648
14100,913.0,934.0,216.617711,220.968041,1.9688
14150,932.0,952.0,216.990805,220.917973,1.7777
14200,949.0,971.0,217.116133,221.165283,1.8308
14250,969.0,994.0,217.658277,222.121791,2.0095
14300,992.0,1013.0,218.689214,223.728124,2.2522
14350,1012.0,1036.0,219.773597,222.833985,1.3734
14400,1038.0,1053.0,220.740032,223.39547,1.1887
14450,1062.0,1075.0,221.226733,223.694958,1.1034
14500,1091.0,1100.0,223.114656,224.421607,0.5824
14550,559.5,564.0,233.147643,223.708124,4.2196
14600,1143.0,1154.0,227.085442,226.250017,0.3692
14650,1167.0,1174.0,228.56965,227.826687,0.3261
14700,1201.0,1202.0,229.574188,227.818228,0.7708
14750,1231.0,1227.0,231.358221,229.0589,1.0038
14800,1260.0,1259.0,232.791664,229.918429,1.2497
14850,1291.0,1287.0,234.620374,231.476413,1.3582
14900,1319.0,1317.0,236.39514,233.892196,1.0701
14950,1354.0,1343.0,238.195126,235.09755,1.3176
15000,1392.0,1381.0,239.582019,236.21093,1.4272
15050,1419.0,1412.0,241.238295,238.804603,1.0191
15100,1458.0,1453.0,242.727665,240.648926,0.8638
15150,1488.0,1489.0,245.112085,242.543714,1.0589
15200,1513.0,1529.0,246.895453,245.336429,0.6355
15250,1549.0,1565.0,247.947661,247.360709,0.2373
15300,1583.0,1609.0,249.773064,248.950137,0.3306
15350,1627.0,1631.0,250.98209,251.948817,0.3837
15400,1661.0,1664.0,252.717002,253.943786,0.4831
15450,1685.0,1704.0,254.252997,254.789015,0.2104
15500,1722.0,1738.0,254.709539,256.913821,0.858
15550,1753.0,1784.0,256.445556,258.492007,0.7917
15600,1787.0,1824.0,258.075801,260.707001,1.0093
15650,1824.0,1858.0,259.344364,262.076825,1.0426
15700,1864.0,1892.0,259.921872,262.798742,1.0947
15750,1904.0,1920.0,261.081886,264.181073,1.1731
15800,1944.0,1962.0,263.041318,265.25043,0.8328
15850,1992.0,1998.0,264.603243,265.822103,0.4585
15900,2029.0,2044.0,266.1193,267.101551,0.3677
15950,2087.0,2089.0,267.420156,268.384925,0.3595
16000,2137.0,2137.0,269.213445,270.355101,0.4223
16050,2178.0,2185.0,271.353586,270.835572,0.1913
16100,1111.0,1113.0,274.882022,268.093361,2.5322
16150,2254.0,2264.0,274.642511,273.040499,0.5867
16200,2309.0,2319.0,276.264894,274.056395,0.8059
16250,2349.0,2359.0,277.4759,276.59687,0.3178
16300,2397.0,2417.0,278.31677,277.319851,0.3595
16350,2447.0,2463.0,279.632445,278.843014,0.2831
16400,2515.0,2520.0,281.268191,280.442339,0.2945
16450,2586.0,2589.0,283.530787,281.82665,0.6047
16500,2645.0,2647.0,285.056021,283.551794,0.5305
16550,2703.0,2705.0,286.669432,284.898792,0.6215
16600,2768.0,2768.0,288.815289,286.609125,0.7697
16650,2832.0,2822.0,291.150152,288.95797,0.7587
16700,2891.0,2877.0,293.093312,290.623206,0.8499
16750,2954.0,2942.0,295.900958,292.69489,1.0954
16800,3009.0,3016.0,297.776291,295.27583,0.8468
16850,3076.0,3098.0,299.856257,297.819795,0.6838
16900,3135.0,3162.0,302.089959,300.322777,0.5884
16950,3203.0,3233.0,304.84847,302.54313,0.762
17000,1636.5,1650.5,319.316851,308.465589,3.5178
17050,3341.0,3371.0,309.726441,307.406079,0.7548
17100,3415.0,3443.0,311.871375,310.006378,0.6016
17150,3473.0,3511.0,314.729923,312.784831,0.6219
17200,3537.0,3587.0,316.853615,314.129387,0.8672
