mode,iteration,cells,wall_hours
v1,16500,2647,9.33083
v1,16550,2705,9.56639
v1,16600,2768,9.80972
v1,16650,2822,10.05861
v1,16700,2877,10.31361
v1,16750,2942,10.58167
v1,16800,3016,10.85972
v1,16850,3098,11.14306
v1,16900,3162,11.43444
v1,16950,3233,11.73278
v1,17000,3301,12.03667
v1,17050,3371,12.34639
v1,17100,3443,12.65889
v1,17150,3511,12.9775
v1,17200,3587,13.30194
v1,17250,3661,13.64056
v1,17300,3738,13.98639
v1,17350,3816,14.3375
v1,17400,3900,14.70306
v1,17450,3972,15.075
v1,17500,4050,15.45528
v1,17550,4139,15.84583
v1,17600,4213,16.24
v1,17650,4293,16.64583
v1,17700,4383,17.06306
v1,17750,4463,17.48806
v1,17800,4571,17.9275
v1,17850,4675,18.37694
v1,17900,4774,18.84111
v1,17950,4885,19.31639
v1,18000,5005,19.80833
v1,18050,5125,20.31556
v1,18100,5245,20.83389
v1,18150,5372,21.37139
v1,18200,5497,21.92472
v1,18250,5620,22.49306
v1,18300,5741,23.08111
v1,18350,5880,23.68139
v1,18400,6007,24.30111
v1,18450,6164,24.93667
v1,18500,6312,25.59056
v1,18550,6449,26.26556
v1,18600,6598,26.95833
v1,18650,6768,27.67306
v1,18700,6929,28.41278
v1,18750,7075,29.175
v1,18800,7216,29.96306
v1,18850,7375,30.76972
v1,18900,7547,31.60306
v1,18950,7710,32.47056
v1,19000,7865,33.35889
v1,19050,8023,34.27556
v1,19100,8218,35.22556
v1,19150,8395,36.20944
v1,19200,8556,37.23694
v1,19250,8752,38.28583
v1,19300,8959,39.35778
v1,19350,9133,40.46139
v1,19400,9313,41.59333
v1,19450,9501,42.74806
v1,19500,9701,43.93639
v1,19550,9908,45.155
v1,19600,10156,46.43028
v1,19650,10402,47.7475
v1,19700,10630,49.10639
v1,19750,10905,50.49028
v1,19800,11188,51.92361
v1,19850,11469,53.46222
v1,19900,11722,55.04278
v1,19950,11993,56.65583
v1,20000,12300,58.32639
v1,20050,12576,60.04917
v1,20100,12851,61.80222
